WDPAID,PA_AREA_KM2,NAME,SHORT_NAME,DESIG,IUCN_CAT,STATUS,STATUS_YR,STATUS_YR_PERM,STATUS_YR_WDPA,MANG_AUTH,MANAGER,MANAGER_SHORT,MANAGER_TYPE
352247,224.31443913806848,Nord fotaky,Fotaky,Paysage Harmonieux Protégé,V,Designated,2006,2015,2015,"Ministry of Environment and Sustainable Development, WWF",World Wide Fund for Nature,WWF,International ONG
352248,3511.425783895836,Complexe Zones Humides Mahavavy Kinkony,Mahavavy K,Paysage Harmonieux Protégé,V,Designated,2007,2015,2015,"Ministry of Environment and Sustainable Development, ASITY Mcar",Asity Madagascar,ASITY,Local ONG
352249,3722.538817151285,Makira,Makira,Parc Naturel,II,Designated,2005,2012,2012,"Ministry of Environment and Sustainable Development, WCS",Wildlife Conservation Society,WCS,International ONG
352250,4.3676198135184245,Mandena,Mandena,Paysage Harmonieux Protégé,V,Designated,2006,2015,2015,"Ministry of Environment and Sustainable Development, QMM",QIT Madagascar Minerals,QMM,Local ONG
352251,2020.2070985137293,Menabe Antimena,Menabe Ant,Paysage Harmonieux Protégé,V,Designated,2006,2015,2015,"Ministry of Environment and Sustainable Development, FANAMBY",Association Fanamby,Fanamby,Local ONG
352252,61.122497277651966,Ambohitr'Antsingy Montagne des Français,Mont Franc,Paysage Harmonieux Protégé,V,Designated,2006,2015,2015,"Ministry of Environment and Sustainable Development, SAGE",Service d'Appui à la Gestion de l'Environnement,SAGE,Local ONG
352253,1021.6238147010185,Amoron'i Onilahy,Amoro Onil,Paysage Harmonieux Protégé,V,Designated,2007,2015,2015,"Ministry of Environment and Sustainable Development, WWF",World Wide Fund for Nature,WWF,International ONG
352254,240.49232484548938,Sahamalaza Iles Radama,Sahamalaza,Parc National,II,Designated,2007,2007,2007,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
352255,7.305097860261522,Ambatoatsinanana,Ambatoatsi,Paysage Harmonieux Protégé,V,Designated,2006,2015,2015,"Ministry of Environment and Sustainable Development, QMM",QIT Madagascar Minerals,QMM,Local ONG
352256,3691.549335606964,Corridor Ankeniheny Zahamena,Ankeniheny,Reserve de ressource naturel,VI,Designated,2005,2015,2015,"Ministry of Environment and Sustainable Development, THIS",Conservation International,CI,International ONG
354011,7.269604728791513,Réserve de Tampolo,Tampolo,Paysage Harmonieux Protégé,V,Designated,2006,2015,2015,"Ministry of Environment and Sustainable Development, ESSA FOREST",Ecole Supérieure des Sciences Agronomiques - Forêts,ESSA-Forêts,Local ONG
354012,1846.8862195266388,Mikea,Mikea,Parc National,II,Designated,2007,2011,2011,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
354013,646.6758427589608,Zahamena,Zahamena,Parc National,II,Designated,1927,1927,2015,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
555547961,151.30390342712178,Mandrozo,Mandrozo,Protection Temporaire,V,Designated,2008,2026,2013,Not Reported,Not Reported,Not Reported,NA
555549449,50.6097904883829,Vohidefo,Vohidefo,Aire Protegee,V,Designated,2008,2015,2015,Ministry of Environment and Sustainable Development,Not Reported,Not Reported,NA
555549450,427.7686692176042,Angavo,Angavo,Protection Temporaire,V,Designated,2008,2026,2018,Ministry of Environment and Sustainable Development,Not Reported,Not Reported,NA
555549451,965.8349830714279,Behara-Tranomaro,Behara,Aire Protegee,V,Designated,2008,2015,2015,Ministry of Environment and Sustainable Development,Not Reported,Not Reported,NA
555549452,570.7052372500672,Sud-Ouest Ifotaky,Ifotaky,Aire Protegee,V,Designated,2008,2015,2015,Ministry of Environment and Sustainable Development,Not Reported,Not Reported,NA
555549460,1686.200943952002,Ranobe PK 32,Ranobe,Aire Protegee,V,Designated,2008,2015,2015,Ministry of Environment and Sustainable Development,Not Reported,Not Reported,NA
555697871,5692.465222871461,Complexe des  AP Ambohimirahavavy Marivorahona,Ambohimira,National Park,II,Designated,2015,2015,2015,Ministry of Environment and Sustainable Development,Not Reported,Not Reported,NA
555697872,204.35513718565676,Site Bioculturel d'Antrema,Antrema,Parc National,VI,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, MNHN",Museum National d'Histoire Naturelle,MNHN,International ONG
555697873,424.97350378148025,Lac Alaotra,Alaotra,Paysage Harmonieux Protégé,V,Designated,2007,2015,2015,"Ministry of Environment and Sustainable Development, DURRELL",Durrell Wildlife Conservation Trust,Durell,International ONG
555697874,67.52961848471628,Rivière Nosivolo,Nosivolo,Paysage Harmonieux Protégé,V,Designated,2015,2015,2015,"Ministry of Environment and Sustainable Development, DURRELL",Durrell Wildlife Conservation Trust,Durell,International ONG
555697875,70.29154419440297,Complexe Lac Forêt Ambondrobe,Lac Ambond.,Protection Temporaire,V,Designated,2008,2026,2013,"Ministry of Environment and Sustainable Development, DURRELL",Durrell Wildlife Conservation Trust,Durell,International ONG
555697876,0.2849633779763726,Nosy Antsoha,Nosy Antso,Paysage Harmonieux Protégé,V,Designated,2015,2015,2015,"Ministry of Environment and Sustainable Development, LEMURIA LAND",Lemuria Land,LEMURIA,Local ONG
555697877,4267.541216746,Complexe Zones Humides Mangoky Ihotry,Mangoky,Paysage Harmonieux Protégé,V,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, ASITY Mcar",Asity Madagascar,ASITY,Local ONG
555697878,585.5550542505513,Forêt Naturelle de Tsitongambarika,Tsitongamb,Reserve de ressource naturel,VI,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, ASITY Mcar",Asity Madagascar,ASITY,Local ONG
555697879,171.79744207045056,Beanka,Beanka,Paysage Harmonieux Protégé,V,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, BCM",Biodiversity Conservation Madagascar,BCM,Local ONG
555697880,24.05579356493425,Sahafina,Sahafina,Paysage Harmonieux Protégé,V,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, BCM",Biodiversity Conservation Madagascar,BCM,Local ONG
555697881,3119.09500751006,Corridor Forestier Ambositra Vondrozo,Ambositra,Paysage Harmonieux Protégé,V,Designated,2006,2015,2015,"Ministry of Environment and Sustainable Development, THIS",Conservation International,CI,International ONG
555697882,247.18705943646353,Massif d'Itremo,Itremo,Paysage Harmonieux Protégé,V,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, RBG KEW","Royal Botanic Gardens, Kew",RBG Kew,International ONG
555697883,15.804036329519223,Maromizaha,Maromizaha,Reserve de Ressources Naturelles,VI,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, GERP",Groupe d'Étude et de Recherche sur les Primates de Madagascar,GERP,Local ONG
555697884,15.952203105094295,Ambatofotsy,Ambatofo.,Paysage Harmonieux Protégé,V,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, MAVOA",Association Mavoa,MAVOA,Local ONG
555697885,271.3716741276977,Mangabe-Ranomena-Sahasarotra,Mangabe,Reserve de Ressources Naturelles,VI,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, MAVOA",Association Mavoa,MAVOA,Local ONG
555697886,0.9729283466022671,Ampotaka Ankorabe,Ampotaka,Paysage Harmonieux Protégé,V,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, MAVOA",Association Mavoa,MAVOA,Local ONG
555697887,3.04146727148071,Mahialambo,Mahialambo,Paysage Harmonieux Protégé,V,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, MAVOA",Association Mavoa,MAVOA,Local ONG
555697888,5.7994344402955225,Ampanganandehibe-Behasina,Ampanga.,Paysage Harmonieux Protégé,V,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development,MAVOA",Association Mavoa,MAVOA,Local ONG
555697890,3.584760880745575,Analabe-Betanatanana,Analabe,Reserve de Ressources Naturelles,VI,Designated,2015,2015,2015,"Ministry of Environment and Sustainable Development, MAVOA",Association Mavoa,MAVOA,Local ONG
555697891,44.20158689110433,Analavelona,Analavelon,Monument Naturel,III,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, MBG",Missouri Botanical Garden,MBG,International ONG
555697892,27.428273194699702,Agnalazaha,Agnalazaha,Reserve de Ressources Naturelles,VI,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, MBG",Missouri Botanical Garden,MBG,International ONG
555697893,33.869818367000676,Makirovana Tsihomanaomby,Makirovana,Reserve de Ressources Naturelles,VI,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, MBG",Missouri Botanical Garden,MBG,International ONG
555697894,916.2527291354944,Ampasindava,Ampasindav,Paysage Harmonieux Protégé,V,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, FAMELONA Association",Association Famelona,FAMELONA,Local ONG
555697895,750.8201056596273,Galoko Kalobinono,Galoko Kal,Paysage Harmonieux Protégé,V,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, MBG",Missouri Botanical Garden,MBG,International ONG
555697896,16.798465393829186,Oronjia,Oronjia,Paysage Harmonieux Protégé,V,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, MBG",Missouri Botanical Garden,MBG,International ONG
555697897,61.41223689256055,Massif d'Ibity,Ibity,Paysage Harmonieux Protégé,V,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, MBG",Missouri Botanical Garden,MBG,International ONG
555697898,7.7016532257084735,Réserve spéciale Pointe à Larrée,Pte Larree,Reserve Speciale,IV,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, MBG",Missouri Botanical Garden,MBG,International ONG
555697899,181.125668838791,Vohidava Betsimalao,Vohidava,Réserve de Ressources Naturelles,VI,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, MBG",Missouri Botanical Garden,MBG,International ONG
555697900,7.72470872474649,Ankarabolava,Ankarabola,Reserve de Ressources Naturelles,VI,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, MBG",Missouri Botanical Garden,MBG,International ONG
555697901,7.887591703119524,Agnakatrika,Agnakatri.,Reserve de Ressources Naturelles,VI,Designated,2015,2015,2015,"Ministry of Environment and Sustainable Development, MBG",Missouri Botanical Garden,MBG,International ONG
555697902,3.016606875172711,Forêt Naturel de Petriky,Petriky,Paysage Harmonieux Protégé,V,Designated,2006,2015,2015,"Ministry of Environment and Sustainable Development, QMM",QIT Madagascar Minerals,QMM,Local ONG
555697903,0.3929780026124193,Andreba,Andreba,Paysage Harmonieux Protégé,V,Designated,2015,2015,2015,"Ministry of Environment and Sustainable Development, WCS",Wildlife Conservation Society,WCS,International ONG
555697904,822.7939364310205,COMATSA Sud,COMATSA S,Paysage Harmonieux Protégé,V,Designated,2015,2015,2015,"Ministry of Environment and Sustainable Development, WWF",World Wide Fund for Nature,WWF,International ONG
555697905,752.3386019834048,Mahimborondro,Mahimboron,Reserve de Ressources Naturelles,VI,Designated,2015,2015,2015,"Ministry of Environment and Sustainable Development, TPF",The Peregrine Fund,TPF,International ONG
555697906,356.41787858426665,Bemanevika,Bemanevika,Protection Temporaire,V,Designated,2008,2026,2013,"Ministry of Environment and Sustainable Development, TPF",The Peregrine Fund,TPF,International ONG
555697907,2383.332149804777,COMATSA Nord,COMATSA N,Protection Temporaire,VI,Designated,2008,2026,2013,"Ministry of Environment and Sustainable Development, WWF",World Wide Fund for Nature,WWF,International ONG
555697908,2485.6115718240103,Loky Manambato,Loky Manam,Paysage Harmonieux Protégé,V,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, FANAMBY",Association Fanamby,Fanamby,Local ONG
555697909,3.2066430778880863,Allées des Baobabs,Baobabs,Monument Naturel,III,Designated,2007,2015,2015,"Ministry of Environment and Sustainable Development, FANAMBY",Association Fanamby,Fanamby,Local ONG
555697910,733.8136813794462,Andrafiamena Andavakoera,Andrafiame,Paysage Harmonieux Protégé,V,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, FANAMBY",Association Fanamby,Fanamby,Local ONG
555697911,81.37183053493641,Manjakatompo Ankaratra,Ankaratra,Reserve de Ressources Naturelles,VI,Designated,2013,2015,2015,"Ministry of Environment and Sustainable Development, LIVELY",Association Lively,LIVELY,Local ONG
555697912,137.32755208138101,Tsinjoriake,Tsinjoriak,Paysage Harmonieux Protégé,V,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, TAMIA Association",Association Tamia,TAMIA,Local ONG
555697914,719.9241126123771,Bombetoka Beloboka,Bombetoka,Aire Protegee,V,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, DELC",Development and Environmental Law Center,DELC,Local ONG
555697915,12.413478622185153,Ambohidray,Ambohidray,Aire Protegee,V,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, DBEV",Département de Biologie et Écologie Végétales,DBEV,Local ONG
555697916,102.93115518263022,Ambararata Londa,Ambararata,Aire Protegee,V,Designated,2008,2015,2015,Ministry of Environment and Sustainable Development,Not Reported,Not Reported,NA
555697917,950.8540315760866,Marolambo,Marolambo,Parc National,II,Designated,2008,2015,2015,"Ministry of Environment and Sustainable Development, MNP",Madagascar National Parks,MNP,MNP
555785985,20.654291913938764,Vohimana,Vohimana,Aire Protegee,Proposed AP,Proposed,2026,2026,2026,"Ministry of Environment and Sustainable Development, Man and the Environment",Man and the Environment,MATE,Local ONG
555790166,715.965719016767,Madiro Mirafy,Madiro Mir,Aire Protegee,Proposed AP,Proposed,2026,2026,2026,"Ministry of Environment and Sustainable Development, Impact Madagascar",Impact Madagascar,IM,Local ONG
555790167,352.04648044342855,Complexe Bobaomby,Bobaomby,Aire Protegee,Proposed AP,Proposed,2026,2026,2026,"Ministry of Environment and Sustainable Development, MAVOA",Association Mavoa,MAVOA,Local ONG
555790168,264.33590441419227,Tsinjoarivo Ambalaomby,Tsinjoariv,Protection Temporaire,Protection temporaire,Designated,2020,2026,2020,"Ministry of Environment and Sustainable Development, NGO SADABE",NGO Sadabe,SADABE,International ONG
555790169,13.138455645679265,Ivohiboro,Ivohiboro,Protection Temporaire,V,Designated,2020,2026,2020,"Ministry of Environment and Sustainable Development, MICET",Madagascar Institute for the Conservation of Tropical Environments,MICET,Local ONG
555790172,1.3244108233744967,Ankafobe,Ankafobe,Aire Protegee,V,Designated,2018,2018,2018,"Ministry of Environment and Sustainable Development, MBG",Missouri Botanical Garden,MBG,International ONG
555790173,26.079268798951535,APC Vezo,APC Vezo,Aire Protegee,Proposed AP,Proposed,2026,2026,2026,"Ministry of Environment and Sustainable Development, SAGE",Service d'Appui à la Gestion de l'Environnement,SAGE,Local ONG
555790174,7.079481804150628,APC Miary,APC Miary,Aire Protegee,Proposed AP,Proposed,2026,2026,2026,Ministry of Environment and Sustainable Development,Not Reported,Not Reported,NA
555790175,96.68530226083239,Anjajavy,Anjajavy,Paysage Harmonieux Protégé,V,Designated,2017,2018,2018,"Ministry of Environment and Sustainable Development, Anjajavy Lodge",Anjajavy Lodge,Anjajavy,Local ONG
555790177,4056.3647036029033,Makay,Makay,Aire Protegee,Proposed AP,Proposed,2026,2026,2026,"Ministry of Environment and Sustainable Development, Malagasy Miarony Natiora",Malagasy Miarony Natiora,MMN,Local ONG
555790178,8.993102944150287,Ankingabe,Ankingabe,Aire Protegee,Proposed AP,Proposed,2026,2026,2026,"Ministry of Environment and Sustainable Development, Lemuria Land",Lemuria Land,LEMURIA,Local ONG
555790231,1187.8566920535584,Beampingaratsy,Beampinga.,Aire protegee,Proposed AP,Proposed,2026,2026,2026,"Ministry of Environment and Sustainable Development, NITIDEA",Nitidae,NITIDAE,International ONG
555790232,1613.3996137253819,Ankirihitra,Ankirihi.,Aire protegee,Proposed AP,Proposed,2026,2026,2026,"Ministry of Environment and Sustainable Development, Impact Madagascar",Impact Madagascar,IM,Local ONG
555790233,202.29609322635622,APC Agnala,APC Agnala,Aire protegee,Proposed AP,Proposed,2026,2026,2026,"Ministry of Environment and Sustainable Development, SAGE",Service d'Appui à la Gestion de l'Environnement,SAGE,Local ONG
555790234,142.90504553180634,APC Loharano,APC Lohara,Aire protegee,Proposed AP,Proposed,2026,2026,2026,"Ministry of Environment and Sustainable Development, SAGE",Service d'Appui à la Gestion de l'Environnement,SAGE,Local ONG
555790235,386.5993571284989,APC Lovasoa,APC Lovaso,Aire protegee,Proposed AP,Proposed,2026,2026,2026,"Ministry of Environment and Sustainable Development, SAGE",Service d'Appui à la Gestion de l'Environnement,SAGE,Local ONG
555790236,318.9312650803951,APC Mikea Mitambatra,APC Mikea,Aire protegee,Proposed AP,Proposed,2026,2026,2026,"Ministry of Environment and Sustainable Development, SAGE",Service d'Appui à la Gestion de l'Environnement,SAGE,Local ONG
555790237,3.8071660331850743,Analalava,Analalava,Réserve de Ressources Naturelles,VI,Designated,2015,2015,2015,"Ministry of Environment and Sustainable Development, VELONALA Association",Association Velonala,Velonal,Local ONG
